DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,FC,ST,Lns,L,W,"AREA (SqFt)",PCI DATE,PCI,"Last MnR Date",Last MnR Treatment
1,320585,10TH ST,030,NORTH CITY LIMIT,HARRISON ST,R,A,2,450,36,"16,200",07/20/2022,89,10/21/2015,FDR
1,320585,10TH ST,033,HARRISON ST,CAMELIA ST,R,A,2,"1,270",36,"45,720",07/20/2022,90,10/21/2015,FDR
1,321585,10TH ST,042,CAMELIA ST,CEDAR ST,R,A,2,"1,320",36,"47,520",07/20/2022,62,04/01/2001,RECONSTRUCT STRUCTURE (AC)
1,321585,10TH ST,044,CEDAR ST,VIRGINIA ST,R,O,2,675,36,"24,300",07/20/2022,45,04/01/2001,MILL AND OVERLAY W/FABRIC
1,321585,10TH ST,045,VIRGINIA ST,DELAWARE ST,R,O,2,675,36,"24,300",07/20/2022,10,09/01/1991,MILL AND OVERLAY W/FABRIC
1,321585,10TH ST,047,DELAWARE ST,UNIVERSITY AVE,R,O,2,950,36,"34,200",07/20/2022,11,09/01/1991,MILL AND OVERLAY W/FABRIC
2,932585,10TH ST,050,UNIVERSITY AVE,DWIGHT WAY,R,O,2,"3,005",36,"108,180",07/13/2022,90,11/23/2011,MILL AND THICK OVERLAY
2,920585,10TH ST,062,DWIGHT WAY,PARKER ST,R,A,2,660,36,"23,760",07/13/2022,17,06/15/2000,RECONSTRUCT SURFACE (AC)
2,920585,10TH ST,064,PARKER ST,CARLETON ST,R,A,2,500,36,"18,000",07/13/2022,100,03/23/2021,RECONSTRUCT SURFACE (AC)
2,920585,10TH ST,066,CARLETON ST,HEINZ AVE,R,A,2,"1,360",36,"48,960",07/13/2022,16,06/15/2000,RECONSTRUCT SURFACE (AC)
1,320528,2ND ST,030,GILMAN ST,NORTH CITY LIMIT,R,O,2,"1,305",63,"82,215",07/20/2022,54,,
1,320528,2ND ST,035,GILMAN ST,CAMELIA ST,R,A,2,655,40,"26,200",07/20/2022,43,,
1,320528,2ND ST,040,CAMELIA ST,PAGE ST,R,A,2,450,40,"18,000",07/20/2022,50,,
1,320528,2ND ST,043,PAGE ST,CEDAR ST,R,O,2,820,40,"32,800",07/20/2022,8,,
1,320528,2ND ST,044,CEDAR ST,VIRGINIA ST,R,O,2,740,40,"29,600",07/09/2020,9,,
1,320528,2ND ST,045,VIRGINIA ST,HEARST AVE,R,A,2,"1,115",42,"46,830",07/20/2022,46,,
